"10K: DC negative bus backup voltage 5/6K: Secondary bus 2";"10K: جهد النسخ الاحتياطي للحافلة السالبة CC 5/6K: الحافلة الثانوية 2"
"10K: DC positive bus backup voltage 5/6K: Secondary bus 1";"10K: جهد النسخ الاحتياطي للحافلة الإيجابية 5/6K: الحافلة الثانوية 1"
"AC coupled PV source selection";"تحديد مصدر الطاقة الشمسية المرتبطة بالتيار المتردد"
"AC side operation mode";"وضع التشغيل الجانبي المتردد"
"AC side running status";"حالة تشغيل الجانب المتردد"
"AC side self-test steps";"خطوات الاختبار الذاتي للجانب المتردد"
"AH value of lead-acid battery";"قيمة أمبير البطارية الرصاصية"
"anti-backflow function";"وظيفة مضادة للتدفق العكسي"
"backup active power";"طاقة نشطة احتياطية"
"backup apparent power";"طاقة ظاهرة احتياطية"
"Backup load power supply sequence";"تسلسل توريد الطاقة للحمل الاحتياطي"
"backup output function";"وظيفة الإخراج الاحتياطية"
"backup phase A current";"تيار المرحلة الاحتياطية أ"
"backup phase A voltage";"جهد المرحلة الاحتياطية أ"
"backup phase B current";"تيار المرحلة الاحتياطية ب"
"backup phase B voltage";"جهد المرحلة الاحتياطية ب"
"backup phase C current";"تيار المرحلة الاحتياطية ج"
"backup phase C voltage";"جهد المرحلة الاحتياطية ج"
"backup power factor";"عامل القدرة الاحتياطية"
"backup reactive power";"طاقة القدرة الاحتياطية"
"backup voltage frequency";"تردد الجهد الاحتياطي"
"battery activated";"تنشيط البطارية"
"Battery charging and discharging (command mode takes effect)";"شحن وتفريغ البطارية (يأخذ الوضع الأمري)"
"Battery charging and discharging power (command mode is valid)";"طاقة شحن وتفريغ البطارية (الوضع الأمري ساري المفعول)"
"Battery charging on the day";"شحن البطارية خلال النهار"
"Battery communication connection status";"حالة الاتصال بالبطارية"
"Battery communication protocol selection";"اختيار بروتوكول الاتصال بالبطارية"
"battery current";"تيار البطارية"
"battery current 1";"تيار البطارية 1"
"battery current 2";"تيار البطارية 2"
"battery discharge on the day";"تفريغ البطارية خلال النهار"
"battery error";"خطأ البطارية"
