"10K: DC negative bus backup voltage 5/6K: Secondary bus 2";"10K: DC negative bus backup voltage 5/6K: Secondary bus 2"
"10K: DC positive bus backup voltage 5/6K: Secondary bus 1";"10K: DC positive bus backup voltage 5/6K: Secondary bus 1"
"AC coupled PV source selection";"AC coupled PV source selection"
"AC side operation mode";"Provozní stav AC části měniče"
"AC side running status";"Provozní režim AC části měniče"
"AC side self-test steps";"AC side self-test steps"
"AH value of lead-acid battery";"Nabití olověné baterie"
"anti-backflow function";"Anti-backflow function"
"backup active power";"Činný výkon zálohy"
"backup apparent power";"Zdánlivý výkon zálohy"
"Backup load power supply sequence";"Backup load power supply sequence"
"backup output function";"Backup output function"
"backup phase A current";"Proud zálohy fáze A"
"backup phase A voltage";"Napětí zálohy fáze A"
"backup phase B current";"Proud zálohy fáze B"
"backup phase B voltage";"Napětí zálohy fáze B"
"backup phase C current";"Proud zálohy fáze C"
"backup phase C voltage";"Napětí zálohy fáze C"
"backup power factor";"Účiník zálohy"
"backup reactive power";"Jalový výkon zálohy"
"backup voltage frequency";"Frekvence napětí zálohy"
"battery activated";"Baterie aktivní"
"Battery charging and discharging (command mode takes effect)";"Battery charging and discharging (command mode takes effect)"
"Battery charging and discharging power (command mode is valid)";"Battery charging and discharging power (command mode is valid)"
"Battery charging on the day";"Battery charging during the day"
"Battery communication connection status";"Stav komunikace s baterií"
"Battery communication protocol selection";"Komunikační protokol baterie"
"battery current";"Proud baterie"
"battery current 1";"Proud baterie 1"
"battery current 2";"Proud baterie 2"
"battery discharge on the day";"Battery discharging during the day"
"battery error";"Chyba baterie"
"Battery manufacturer number (code list)";"Výrobce baterie"
"battery max charging current";"Maximální nabíjecí proud baterie"
"battery max discharging current";"Maximální vybíjecí proud baterie"
"Battery power manual limiter";"Battery power manual limiter"
"battery pressure";"Tlak baterie"
"battery soc";"Nabití baterie"
"battery soh";"Kondice baterie"
"battery status";"Stav baterie"
"battery temperature";"Teplota baterie"
"battery voltage";"Napětí baterie"
"battery voltage lower limit";"Dolní limit napětí baterie"
"battery voltage upper limit";"Horní limit napětí baterie"
"battery warning";"Upozornění baterie"
"battery warning 0";"Battery warning 0"
"bms connection status";"BMS connection status"
"character";"Character"
"Charge and discharge status";"Stav nabíjení a vybíjení"
"charge cut-off voltage";"Charging cut-off voltage"
"Charge/discharge times";"Charging/discharging times"
"Charging power limit";"Charging power limit"
"Comprehensive battery warning 1";"Comprehensive battery warning 1"
"DAY";"DAY"
"DC bilateral bus voltage";"DC bilateral bus voltage"
"DC negative bus voltage";"DC negative bus voltage"
"DC positive bus voltage";"DC positive bus voltage"
"DC power";"Stejnosměrný výkon"
"DC side battery type";"DC side battery type"
"DC side running status";"DC side running status"
"DC side self-test steps";"DC side self-test steps"
"device type code";"Device type code"
"discharge cut-off voltage";"Discharging cut-off voltage"
"DRM0";"DRM0"
"DRM1";"DRM1"
"DRM2";"DRM2"
"DRM3";"DRM3"
"DRM4";"DRM4"
"DRM5";"DRM5"
"DRM6";"DRM6"
"DRM7";"DRM7"
"DRM8";"DRM8"
"End Time";"End Time"
"engine rated power";"Device rated power"
"Fault status word 0";"Fault status word 0"
"Fault status word 1";"Fault status word 1"
"Fault status word 2";"Fault status word 2"
"Fault status word 3";"Fault status word 3"
"Fault status word 4";"Fault status word 4"
"Fixed content 0000";"Fixed content 0000"
"Fixed content in bin";"Fixed content in bin"
"Force charging soc upper limit";"Upper charge limit (forced charging)"
"Forcibly rush the number of time periods in a day";"Forcibly rush the number of time periods in a day"
"Grid AB line voltage";"Napětí fáze AB"
"Grid active power";"Činný výkon sítě"
"Grid A phase current";"Proud fáze A"
"Grid A phase voltage";"Napětí fáze A"
"grid apparent power";"Zdánlivý výkon sítě"
"Grid BC line voltage";"Napětí fáze BC"
"Grid B phase current";"Proud fáze B"
"Grid B phase voltage";"Napětí fáze B"
"Grid CA line voltage";"Napětí fáze CA"
"grid code";"Kód sítě"
"Grid-connected electricity consumption today";"Grid-connected electricity consumption today"
"Grid-connected power upper limit";"Grid-connected power upper limit"
"Grid-connected SOC lower limit setting";"Grid-connected SOC lower limit setting"
"Grid-connected total power consumption";"Grid-connected total power consumption"
"grid C phase current";"Proud fáze C"
"grid C phase voltage";"Napětí fáze C"
"grid frequency";"Frekvence sítě"
"grid power down";"Výpadek distribuční sítě"
"grid reactive power";"Jalový výkon sítě"
"Grid voltage drop adjustment method";"Grid voltage drop adjustment method"
"HOUR";"Hour"
"How many sets of data are there";"How many sets of data are there"
"internal temperature";"Vnitřní teplota měniče"
"In the micro grid mode the battery SOC hysteresis";"Battery SOC hysteresis (micro-grid mode)"
"Invert apparent power (parallel data)";"Invert apparent power (parallel data)"
"Inverter active power (parallel data)";"Inverter active power (parallel data)"
"Inverter A phase current";"Proud fáze A měniče"
"Inverter A phase voltage";"Napětí fáze A měniče"
"Inverter B phase current";"Proud fáze B měniče"
"Inverter B phase voltage";"Napětí fáze B měniče"
"Inverter C phase current";"Proud fáze C měniče"
"Inverter C phase voltage";"Napětí fáze C měniče"
"Inverter reactive power (parallel data)";"Inverter reactive power (parallel data)"
"inverter status word";"Inverter status word"
"inverter switched on";"Měnič zapnutý"
"ip";"IP"
"IP acquisition type";"IP acquisition type"
"ipGateway";"IP Gateway"
"ipMask";"IP Mask"
"lead-acid battery charging voltage";"Lead-acid battery charging voltage"
"Lead-acid battery EOD";"Lead-acid battery EOD"
"Lead-acid battery float charge voltage";"Lead-acid battery float charge voltage"
"load daily power consumption";"Load daily power consumption"
"load today's power consumption";"Load today power consumption"
"Local load active power (parallel data)";"Local load active power (parallel data)"
"Local load apparent power (parallel data)";"Local load apparent power (parallel data)"
"Local load B-phase active power (parallel data)";"Local load B-phase active power (parallel data)"
"Local load phase A active power (parallel data)";"Local load phase A active power (parallel data)"
"Local load phase C active power (parallel data)";"Local load phase C active power (parallel data)"
"Local load reactive power (parallel data)";"Local load reactive power (parallel data)"
"Lower limit of discharge power";"Lower limit of discharge power"
"main function address";"Main function address"
"Mains charging current upper limit";"Mains charging current upper limit"
"master/slave flag";"Měnič je řídící na sběrnici (master)"
"Meter communication protocol selection";"Komunikační protokol elektroměru"
"Meter connection status";"Stav připojení elektroměru"
"Meter detection function";"Detekce elektroměru"
"MINUTE";"Minute"
"model code";"Model code"
"Module A1 temperature";"Module A1 temperature"
"Module B1 temperature";"Module B1 temperature"
"Module C1 temperature";"Module C1 temperature"
"MONTH";"MONTH"
"number of units running in parallel";"Number of units running in parallel"
"Off-grid SOC lower limit setting";"Dolní limit vybití baterie mimo síť"
"Operating mode";"Režim měniče"
"optical storage all-in-one machine protocol";"Optical storage all-in-one machine protocol"
"Optical storage all-in-one machine protocol pcu upgrade protocol";"Optical storage all-in-one machine protocol PCU upgrade protocol"
"Parallel address";"Parallel address"
"Parallel battery connection type";"Baterie není sdílena"
"part of data";"Part of data"
"PcuOnOff";"PCU On/Off"
"peaks and valleys";"Peaks and valleys"
"PowerDay";"PowerDay"
"power derating flag";"Power derating flag"
"power factor";"Účiník"
"power factor setting";"Power factor setting"
"PowerHistory";"PowerHistory"
"PowerMonth";"PowerMonth"
"PowerYear";"PowerYear"
"product_sn";"Sériové číslo měniče"
"product_sn_ln";"Product SN/LN"
"protocol version number";"Verze komunikačního protokolu"
"PV1 current";"Proud FV1"
"PV1 power";"Výkon FV1"
"PV1 voltage";"Napětí FV1"
"PV2 current";"Proud FV2"
"PV2 power";"Výkon FV2"
"PV2 voltage";"Napětí FV2"
"PV and off-grid";"PV and off-grid"
"PV daily power generation";"PV daily power generation"
"PVPowerDay";"PVPowerDay"
"PVPowerHistory";"PVPowerHistory"
"PVPowerMonth";"PVPowerMonth"
"PVPowerYear";"PVPowerYear"
"PV side running status";"PV side running status"
"PV side self-test steps";"PV side self-test steps"
"PV status word";"PV status word"
"PV total power (parallel data)";"Celkový výkon FV"
"register address";"Register address"
"register value";"Register value"
"Relay self-test enable";"Relay self-test enable"
"remote load";"Remote load"
"reserve";"Reserved"
"Reserve 20 control commands";"Reserve 20 control commands"
"reserved fields";"Reserved fields"
"Reserve ten control commands";"Reserved ten control commands"
"Reset";"Reset"
"Router PASSWORD";"Router password"
"router SSID";"Router SSID"
"Save money on electricity today";"Saved money on electricity today"
"SECOND";"Second"
"server IP";"Server IP"
"server port number";"Server port number"
"shadow scan";"Shadow scan"
"Single/Parallel logo";"Paralelní spojení měničů"
"Single parallel machine sign";"Single parallel machine sign"
"start time";"Start time"
"Subsequent setting of the number of registers (maximum 10)";"Subsequent setting of the number of registers (maximum 10)"
"The grid buys electricity on the same day";"The grid buys electricity on the same day"
"The high digit of the software version number";"High digit of the software version number"
"The lower digit of the software version number";"Low digit of the software version number"
"The number of registers to be queried (up to 10)";"The number of registers to be queried (up to 10)"
"Three-phase unbalanced output";"Three-phase unbalanced output"
"Total battery charging current (parallel data)";"Total battery charging current (parallel data)"
"Total battery current (parallel data)";"Total battery current (parallel data)"
"Total battery discharge current (parallel data)";"Total battery discharge current (parallel data)"
"Total battery power (parallel data)";"Total battery power (parallel data)"
"total daily battery charge";"total daily battery charge"
"total daily battery discharge";"total daily battery discharge"
"total grid electricity purchase";"total grid electricity purchase"
"Total load power consumption";"Total load power consumption"
"Total photovoltaic power generation";"Total photovoltaic power generation"
"total savings on electricity bills";"Total savings on electricity bills"
"Twenty control commands are reserved";"Reserved 20 control commands"
"unit electricity price (flat)";"Unit electricity price (flat)"
"unit electricity price (peak)";"Unit electricity price (peak)"
"unit electricity price (tip)";"Unit electricity price (tip)"
"unit electricity price (valley)";"Unit electricity price (valley)"
"Upgraded application CRC";"Upgraded application CRC"
"Upgraded Application Length";"Upgraded Application Length"
"upgrade result";"Upgrade result"
"Whether bypass mode is enabled";"Bypass mode enabled"
"Whether the battery voltage can be set";"Whether the battery voltage can be set"
"Whether to charge (flat) when SOC<10";"Charge (flat) when SOC<10"
"Whether to charge (peak) when SOC<10";"Charge (peak) when SOC<10"
"Whether to charge (tip) when SOC<10";"Charge (tip) when SOC<10"
"Whether to charge (valley) when SOC<10";"Charge (valley) when SOC<10"
"Whether to discharge (peak) when SOC>20";"Discharge (peak) when SOC>20"
"Whether to discharge (tip) when SOC>20";"Discharge (tip) when SOC>20"
"Whether to discharge (valley) when SOC>20";"Discharge (valley) when SOC>20"
"Whether to discharge when SOC>20 (flat)";"Discharge when SOC>20 (flat)"
"Whether to enable forced charging";"Forced charging enabled"
"Whether to enable forced discharge";"Forced charging disabled"
"Whether to enable Friday";"Enable Friday"
"Whether to enable Monday";"Enable Monday"
"Whether to enable Saturday";"Enable Saturday"
"Whether to enable Sunday";"Enable Sunday"
"Whether to enable Thursday";"Enable Thursday"
"Whether to enable Tuesday";"Enable Tuesday"
"Whether to enable Wednesday";"Enable Wednesday"
"WifiOperating mode";"WiFi operating mode"
"work efficiency";"Účinnost měniče"
"YEAR";"Year"
